url,name,price_idr,sold_count,rating,brand,cpu,cpu_full,ram_gb,storage_raw,ssd_gb,storage_type,nvme,screen_inch,resolution,display_type,touchscreen,gpu,gpu_type,os,battery_hours,condition,error
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-7390-core-i7-gen-8-ram-16gb-ssd-512-ips-win10-ori-nvme-256gb-8-gb,"Laptop Dell Latitude 7390 Core i7 Gen 8 RAM 16GB SSD 512 IPS Win10 Ori - NVME 256GB, 8 gb",4799000,50,4.8,Dell,i7 8650u,Intel Core i7 8650u 1.90 GHz - 3.60 GHz Quad-Core OPE,16,256GB SSD / SDD 512GB,512,SSD,No,,1920 x 1080,IPS,No,,Integrated,,,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-7430-i7-gen-12-ram-32gb-touchscreen-ultrabook-tipis-ringan-1732608221549135294,Laptop Dell Latitude 7430 i7 Gen 12 RAM 32GB Touchscreen | Ultrabook Tipis Ringan - SSD 256GB,7799000,30,5,Dell,i7-1265U,Intel Core i7-1265U  1.8 GHz ( 12 CPus ) -Memory RAM,32,SSD NVME 256GB - 512GB ( FAST BOOTING ) -Lay,256,SSD,Yes,14,1920x1080,IPS,Yes,,Integrated,,2,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-7480-core-i5-7th-8gb-256gb-ssd-touchscreen-fullhd,Laptop Dell Latitude 7480 Core i5 7th 8GB 256GB SSD Touchscreen FullHD,6499000,6,5,Dell,,,8,SSD 256 GB  “ Fast Boot “ VGA INTEL HD 5,256,SSD,No,14,1920x1080,IPS,Yes,,Integrated,,2,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-7490-core-i5-ram-16gb-ssd-512gb-win-10-original-ssd-256gb-bb88c,Laptop Dell Latitude 7490 Core i5 RAM 16GB SSD 512GB Win 10 Original - SSD 256GB,3999000,40,5,Dell,Intel Core i5 - 8365u,Intel Core i5 - 8365u (Quad Core,16,SSD 256GB Win 10 Pro “Original” !! [RiN,256,SSD,Yes,14,,,No,,Integrated,Windows 10 Pro,,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-7490-core-i7-8650u-ram-8gb-ssd-256-fhd-win-10-ori-ssd-256gb-8-gb-bba84,"Laptop Dell Latitude 7490 Core i7 8650u RAM 8GB SSD 256 FHD Win 10 Ori - SSD 256GB, 8 gb",4599000,70,5,Dell,Intel Core i7-8650U,Intel Core i7-8650U (Quad Core,8,SSD 256GB Win 10 Pro “Original” !! [RiN,256,SSD,Yes,14,1920 x 1080,IPS,No,,Integrated,Windows 10 Pro,,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-e5440-corei5-4300u-4gb-mulus-normal-murah-ram-8gb-hdd-500,Laptop Dell Latitude e5440 - Corei5 4300u - 4GB - Mulus Normal Murah - RAM 8GB HDD 500,3299000,8,5,Dell,i5 4300u,Intel Core i5 4300u 1.90GHz RAM 4GB DDR3 Harddisk 500,4,,,,No,,HD,,No,,Integrated,,,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-e5450-core-i7-5600u-ram-8gb-ssd256-nvidia-2gb-fhd,Laptop Dell Latitude E5450 Core i7 5600u RAM 8GB SSD256 Nvidia 2GB FHD,6000000,29,4.9,Dell,,,8,SSD 256 GB “ Fast Boot “ VGA INTEL HD 55,256,SSD,No,14,1920x1080,IPS,No,,Dedicated,,2,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-e5470-core-i5-ram-8gb-ssd-256-touchscreen-full-hd-tidak-touch,Laptop Dell Latitude E5470 Core i5 RAM 8GB SSD 256 Touchscreen Full HD - Tidak Touch,3999900,7,5,Dell,,,8,SSD 256GB“ Fast Boot “ VGA INTEL HD 520,256,SSD,No,14,1920x1080,IPS,Yes,,Integrated,,2,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-e5470-core-i7-6820hq-ram-16gb-ssd-256-full-hd-ips-ram-16gb-ssd256,Laptop Dell Latitude E5470 Core i7 6820HQ RAM 16GB SSD 256 Full HD IPS - RAM 16GB SSD256,6299000,50,5,Dell,i7 6820HQ,Intel Core i7 6820HQ 2.7GHz ( 8 CPU ) RAM 16GB DDR4 S,16,SSD 256GB“ Fast Boot “ VGA INTEL HD 520,256,SSD,No,14,1920x1080,IPS,No,,Integrated,,2,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-e5570-corei7-6th-gen-ram-8gb-ssd-512-vga-2gb,Laptop Dell Latitude E5570 Corei7 6th Gen RaM 8GB SSD 512 VGA 2GB,7000000,2,5,Dell,i7 6600u,Intel Core i7 6600u 2.6 GHz RAM 8GB DDR4L SSD 512 “ f,8,,,SSD,No,15.6,1368x768,,No,,Dedicated,,,Used,
